BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s,HasEventRace
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils isSubclassOf should return true for subclass constructor",337,0.15568862275449102,25,0.24271844660194175,440.86956200934947,0.034602044075967626,0,0,7,0.16666666666666666,0,0,0,0,2,0.043478260869565216,2,0,85.5,0.2271835132482826,0,0,86,0.215,100,1,0,0,"6.966",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils isSubclassOf should return false if one of the inputs is not a constructor",294,0.02694610778443114,0,0,0,0,0,0,7,0.16666666666666666,0,0,0,0,2,0.043478260869565216,2,0,52,0.06280667320902844,0,0,52,0.045,100,1,0,0,"6.411",False
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils mixin should mixin rest of the arguments to the first argument",318,0.09880239520958084,11,0.10679611650485436,76.05625099502504,0.005969343261503962,0,0,6,0,0,0,0,0,2,0.043478260869565216,2,0,185.5,0.7178606476938175,0,0,186,0.715,100,1,0,0,"6.843",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils compose should compose multiple functions",330,0.1347305389221557,12,0.11650485436893204,96.5272889956832,0.007576031089874749,0,0,7,0.16666666666666666,0,0,0,0,2,0.043478260869565216,2,0,42.5,0.016192345436702636,0,0,43,0,100,1,0,0,"6.512",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils snakeCase module snakeCase and camelCase functions * --> * --> *",285,0,0,0,0,0,0,0,7,0.16666666666666666,0,0,0,0,1,0,2,0,146,0.5240431795878312,0,0,146,0.515,100,1,0,0,"6.411",False
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils snakeCase module snakeCase and camelCase functions foo --> foo --> foo",339,0.16167664670658682,4,0.038834951456310676,2097.8056660015136,0.1646481643844118,4,0.0625,7,0.16666666666666666,0,0,0,0,3,0.08695652173913043,2,0,117.5,0.3842001962708537,0,0,118,0.375,100,1,0,0,"6.545",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils snakeCase module snakeCase and camelCase functions fooBar --> foo_bar --> fooBar",348,0.18862275449101795,4,0.038834951456310676,2109.84189700149,0.1655928387993828,4,0.0625,6,0,0,0,0,0,3,0.08695652173913043,2,0,149,0.5387634936211972,0,0,149,0.53,100,1,0,0,"6.858",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils snakeCase module snakeCase and camelCase functions foo1Bar2 --> foo1_bar2 --> foo1Bar2",326,0.12275449101796407,4,0.038834951456310676,2216.656269000843,0.1739762608506199,4,0.0625,6,0,0,0,0,0,2,0.043478260869565216,2,0,186,0.7203140333660452,0,0,190,0.735,100,1,0,0,"6.448",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils snakeCase module snakeCase and camelCase functions fooBAR --> foo_bar --> fooBar",348,0.18862275449101795,4,0.038834951456310676,2261.682773998007,0.17751020659048392,4,0.0625,6,0,0,0,0,0,3,0.08695652173913043,2,0,97,0.2836113837095191,0,0,102,0.295,100,1,0,0,"6.622",Undefined
objection.js,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/objection.js/tests/unit/utils.js,"utils snakeCase module snakeCase and camelCase functions fooBaR --> foo_ba_r --> fooBaR",351,0.19760479041916168,4,0.038834951456310676,2190.154397999868,0.17189623767031265,4,0.0625,7,0.16666666666666666,0,0,0,0,3,0.08695652173913043,2,0,162.5,0.6050049067713444,0,0,163,0.6,100,1,0,0,"6.922",Undefined
