BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function tag,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function close,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function text,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function isJS,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function isStyle,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function structure,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function isInline,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a function comment,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has an array named node,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has an named redundant,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a regular expression named structural,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has an inline element reference,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has an singular element reference,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers is a module which has a default config,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #directive returns a string wrapped with < >,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #attributes should convert the attribute object to string,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #attributes should return early if element has no attributes,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #attributes should remove attributes that are empty,1
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #attributes should retain empty schemantic and data attributes,1
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #attributes should remove multiple white spaces and newlines in attribute values,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #attributes should check if the attribute is actually a defined property,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #quote should omit quotes if an attribute does not require any,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #quote should always quote an attribute ending with /,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #quote should single quote attributes containing double quotes,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #quote should add quotes to attributes with spaces or =,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #quote should add quotes to attributes with <>,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #quote should always retain quotes if configured,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #tag returns a string wrapped with < >,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #tag calls helpers#attributes once and appends content behind name,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #tag is callable by element.type through proxy,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #isInline returns true if inline element <strong>,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #isInline returns false if block element <html>,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #isInline returns type Boolean,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #close only generates closing element for tags and scripts,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #close returns a string wrapped with </ >,0
Swaagie_minimize,/home/pedroubuntu/Downloads/nacd/Swaagie_minimize/test/helpers-test.js,Helpers #close returns an empty string if element.type is wrong,0
